ID,Old ID,Name,Start,Stop,Direction,RAST,Subsystem,Subclass,Class,SuperClass
ACIAD_RS00060,ACIAD0014,,15431,15685,+,hypothetical protein,,,,
ACIAD_RS00065,ACIAD0015,,15924,17882,+,5'-nucleotidase (EC 3.1.3.5),Nucleotide phosphorylation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00070,,,18407,19947,,,,,,
ACIAD_RS00075,,,20007,20083,,,,,,
ACIAD_RS00080,,,20120,20195,,,,,,
ACIAD_RS00085,,,20532,23446,,,,,,
ACIAD_RS00090,,,23623,23737,,,,,,
ACIAD_RS00095,ACIAD0017,,23916,24530,+,"Glutathione S-transferase family protein; Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)",Glutathione: Non-redox reactions; Glutathione: Non-redox reactions,Stress Response; Stress Response,"Stress Response, Defense and Virulence; Stress Response, Defense and Virulence","Stress Response, Defense, Virulence; Stress Response, Defense, Virulence"
ACIAD_RS00100,ACIAD0018,,24584,24895,+,,,,,
ACIAD_RS00105,ACIAD0019,,25116,25658,-,NADPH-dependent oxidoreductase; Putative reductase,,,,
ACIAD_RS00110,ACIAD0020,,25757,26239,-,FKBP-type peptidyl-prolyl cis-trans isomerase SlpA (EC 5.2.1.8); Peptidylprolyl isomerase,Peptidyl-prolyl cis-trans isomerase,Protein folding,"Protein Fate (folding, modification, targeting, degradation)",Protein Processing
ACIAD_RS00115,ACIAD0021,lspA,26232,26771,-,Lipoprotein signal peptidase (EC 3.4.23.36),Signal peptidase; Sex pheromones in Enterococcus faecalis and other Firmicutes,Protein processing and modification; ,"Protein Fate (folding, modification, targeting, degradation); Microbial communities",Protein Processing; 
ACIAD_RS00120,ACIAD0022,ileS,26764,29601,-,Isoleucyl-tRNA synthetase (EC 6.1.1.5),"Antibiotic targets in protein synthesis; tRNA aminoacylation, Ile",Resistance to antibiotics and toxic compounds; Aminoacyl-tRNA-synthetases,"Stress Response, Defense and Virulence; Protein Synthesis","Stress Response, Defense, Virulence; Protein Processing"
ACIAD_RS00125,ACIAD0023,ribF,29666,30667,-,,,,,
ACIAD_RS00130,ACIAD0024,,30876,32000,+,C4-dicarboxylate transporter/malic acid transport protein,,,,
ACIAD_RS00135,ACIAD0025,rutD,32045,32845,+,Possible hydrolase or acyltransferase RutD in novel pyrimidine catabolism pathway,Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00140,ACIAD0026,,32918,33535,-,Transcriptional regulator RutR of pyrimidine catabolism (TetR family),Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00145,ACIAD0027,rutA,33988,35097,+,Pyrimidine monooxygenase RutA (EC 1.14.99.46),Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00150,ACIAD0028,rutB,35094,35831,+,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110),Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00155,ACIAD0029,rutC,35844,36224,+,,,,,
ACIAD_RS00160,ACIAD0030,rutF,36303,36869,+,FMN reductase (NADH) RutF (EC 1.5.1.42),Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00165,ACIAD0031,rutG,36899,38263,+,Pyrimidine permease RutG,Rut pathway of pyrimidine degradation,,Nucleosides and Nucleotides,Metabolism
ACIAD_RS00170,ACIAD0032,,38279,39151,+,3-hydroxyisobutyrate dehydrogenase family protein,,,,
ACIAD_RS00175,ACIAD0034,,39182,39982,-,Alkanesulfonate ABC transporter ATP-binding protein SsuB,,,,
ACIAD_RS00180,ACIAD0035,ssuC,39995,40795,-,Alkanesulfonate ABC transporter permease protein SsuC,,,,
ACIAD_RS00185,ACIAD0036,ssuD,40792,41982,-,FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5),,,,
ACIAD_RS00190,ACIAD0037,,42005,43012,-,Alkanesulfonate ABC transporter substrate-binding protein SsuA,,,,
ACIAD_RS00195,ACIAD0038,,43039,44013,-,Alkanesulfonate ABC transporter substrate-binding protein SsuA,,,,
ACIAD_RS00200,ACIAD0039,argA,44434,45789,-,N-acetylglutamate synthase (EC 2.3.1.1); amino-acid N-acetyltransferase (EC 2.3.1.1),Proline biosynthesis (for review); Arginine biosynthesis via N-acetyl-L-citrulline,"Proline and 4-hydroxyproline; Arginine; urea cycle, creatine, polyamines",Amino Acids and Derivatives; Amino Acids and Derivatives,Metabolism; Metabolism
ACIAD_RS00205,ACIAD0040,,45901,46203,-,,,,,
ACIAD_RS00210,ACIAD0041,,46379,46765,-,putative signal peptide,,,,
ACIAD_RS00215,ACIAD0042,,47056,47802,-,,,,,
ACIAD_RS00220,ACIAD0043,,47833,48543,-,"Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase",2-phosphoglycolate salvage,DNA repair,DNA Processing,DNA Processing
ACIAD_RS00225,ACIAD0044,,48537,49253,-,,,,,
ACIAD_RS00230,ACIAD0045,,49432,50052,+,Periplasmic thiol:disulfide interchange protein DsbA,Periplasmic disulfide interchange; Biogenesis of c-type cytochromes,Protein folding; Biogenesis of respiratory chain components,"Protein Fate (folding, modification, targeting, degradation); Respiration",Protein Processing; Energy
ACIAD_RS00235,ACIAD0046,,50137,50775,-,"Transcriptional regulator, AcrR family",Multidrug resistance RND efflux system MexEFOprN,Multidrug efflux systems,Membrane Transport,Membrane Transport
ACIAD_RS00240,ACIAD0047,,50905,51540,-,"Unsaturated fatty acid biosythesis repressor FabR, TetR family; TetR family transcriptional regulator",Delta(6)-desaturase containing cluster,Unsaturated fatty acids,"Fatty Acids, Lipids, and Isoprenoids",
ACIAD_RS00245,ACIAD0048,,51732,52754,+,Flavodoxin reductases (ferredoxin-NADPH reductases) family 1; Ferredoxin reductase,Delta(6)-desaturase containing cluster,Unsaturated fatty acids,"Fatty Acids, Lipids, and Isoprenoids",
ACIAD_RS00250,ACIAD0049,,52795,53940,+,Linoleoyl-CoA desaturase,Delta(6)-desaturase containing cluster,Unsaturated fatty acids,"Fatty Acids, Lipids, and Isoprenoids",
ACIAD_RS00255,ACIAD0050,rph,54047,54763,+,Ribonuclease PH (EC 2.7.7.56),Heat shock dnaK gene cluster extended,Stress Response: Heat/cold shock,"Stress Response, Defense and Virulence","Stress Response, Defense, Virulence"
ACIAD_RS00260,ACIAD0051,,54999,55442,+,,,,,
ACIAD_RS00265,ACIAD0052,,55435,55983,+,,,,,
ACIAD_RS00270,ACIAD0053,,55985,56617,+,hypothetical protein; VgrG protein,Type VI secretion system,"Protein secretion system, Type VI",Membrane Transport,
ACIAD_RS00275,ACIAD0054,,56618,57070,+,hypothetical protein,,,,
ACIAD_RS16705,,,57815,58698,+,,,,,
ACIAD_RS00290,ACIAD0061,,59079,59261,+,hypothetical protein,,,,
ACIAD_RS00295,ACIAD0062,,59258,60103,-,Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19),NAD and NADP cofactor biosynthesis bacterial; NAD and NADP cofactor biosynthesis global,NAD and NADP; NAD and NADP,"Cofactors, Vitamins, Prosthetic Groups; Cofactors, Vitamins, Prosthetic Groups",Metabolism; Metabolism
ACIAD_RS00300,ACIAD0063,ampD,60290,60880,+,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",Murein recycling,Amino sugars and nucleotide sugars ,Carbohydrates,Metabolism
ACIAD_RS00305,ACIAD0064,murJ,60933,62480,+,Peptidoglycan lipid II flippase MurJ,,,,
ACIAD_RS00310,ACIAD0065,,62660,63355,-,,,,,
ACIAD_RS00315,ACIAD0066,,63404,64111,-,,,,,
ACIAD_RS00320,ACIAD0068,,64281,66485,-,Tyrosine-protein kinase (EC 2.7.10.2),Capsule polysaccharides,Capsule and Slime layer,"Cell Envelope, Capsule and Slime layer",Cell Envelope
ACIAD_RS00325,ACIAD0069,,66506,66934,-,Low molecular weight phosphotyrosine protein phosphatase,,,,
ACIAD_RS00330,ACIAD0070,,66934,68037,-,,,,,
ACIAD_RS00335,ACIAD0072,,68507,69670,+,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),,,,
ACIAD_RS00340,ACIAD0073,,69701,70573,+,Glycosyl transferase; putative glycosyl transferase family 2( EC:2.- ),,,,
ACIAD_RS00345,ACIAD0074,,70563,71492,+,"Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-); glycosyltransferase family 2 protein",,,,
ACIAD_RS00350,ACIAD0075,,71489,72739,+,"Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids",,,,
ACIAD_RS00355,ACIAD0076,rfbB,72772,73839,+,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","dTDP-rhamnose synthesis -- gjo; dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose synthesis; Cell wall rhamnose-containing polysaccharide cluster; Enterobacterial common antigen (LPS O-antigen)",Capsule and Slime layer; S-layer; Capsule and Slime layer; Gram-Negative (Diderm) cell wall components,"Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Cell Envelope; Cell Envelope; Cell Envelope; Cell Envelope
ACIAD_RS00360,ACIAD0078,rfbD,73858,74766,+,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),dTDP-rhamnose synthesis -- gjo; Cell wall rhamnose-containing polysaccharide cluster,Capsule and Slime layer; Capsule and Slime layer,"Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Cell Envelope; Cell Envelope
ACIAD_RS00365,ACIAD0079,rfbA,74767,75666,+,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),"dTDP-rhamnose synthesis -- gjo; dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose synthesis; Cell wall rhamnose-containing polysaccharide cluster; Enterobacterial common antigen (LPS O-antigen)",Capsule and Slime layer; S-layer; Capsule and Slime layer; Gram-Negative (Diderm) cell wall components,"Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Cell Envelope; Cell Envelope; Cell Envelope; Cell Envelope
ACIAD_RS00370,ACIAD0080,rfbC,75737,76300,+,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",dTDP-rhamnose synthesis -- gjo; Cell wall rhamnose-containing polysaccharide cluster,Capsule and Slime layer; Capsule and Slime layer,"Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Cell Envelope; Cell Envelope
ACIAD_RS00375,ACIAD0081,,76314,77393,+,Glycosyl transferase,,,,
ACIAD_RS00380,ACIAD0082,,77383,78330,+,"Glycosyl transferase, family 2 (EC 2.4.1.83); glycosyltransferase family 2 protein",,,,
ACIAD_RS00385,ACIAD0083,,78350,79315,+,,,,,
ACIAD_RS00390,ACIAD0084,,79335,80354,+,Mannosyltransferase,,,,
ACIAD_RS00395,ACIAD0085,,80367,81164,+,Glycosyl transferase; glycosyltransferase family 2 protein,,,,
ACIAD_RS00400,ACIAD0086,,81192,82610,-,,,,,
ACIAD_RS00405,ACIAD0087,tviB,82938,84218,+,UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136),"N-acetylglucosamine derivatives; 2,3-diacetamido-2,3-dideoxy-d-mannuronic acid",Amino sugars and nucleotide sugars ; Amino sugars and nucleotide sugars ,Carbohydrates; Carbohydrates,Metabolism; Metabolism
ACIAD_RS00410,ACIAD0088,tviC,84248,85279,+,UDP-N-acetylglucosaminuronic acid 4-epimerase (EC 5.1.3.7),N-acetylglucosamine derivatives,Amino sugars and nucleotide sugars ,Carbohydrates,Metabolism
ACIAD_RS00415,ACIAD0089,,85279,86574,+,hypothetical protein; Peptidoglycan lipid II flippase MurJ,,,,
ACIAD_RS00420,ACIAD0090,,86571,87671,+,Glycosyl transferase,,,,
ACIAD_RS00425,ACIAD0091,,87684,88775,+,"Glycosyl transferase; Glycosyl transferase, group 1",,,,
ACIAD_RS00430,ACIAD0092,,88772,89920,+,,,,,
ACIAD_RS00435,ACIAD0093,,89914,90528,+,Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-); Sugar transferase,,,,
ACIAD_RS00440,ACIAD0094,,90509,91195,+,Acetyltransferase; Acetyltransferase (isoleucine patch superfamily),,,,
ACIAD_RS00445,ACIAD0095,,91199,92374,+,4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase,,,,
ACIAD_RS00450,ACIAD0096,,92376,94265,+,Nucleoside-diphosphate sugar epimerase/dehydratase; Polysaccharide biosynthesis protein,,,,
ACIAD_RS00455,ACIAD0098,,94679,96043,+,Capsular polysaccharide biosynthesis protein; Undecaprenyl-phosphate glucose phosphotransferase (EC 2.7.8.31),,,,
ACIAD_RS00460,ACIAD0099,galU,96135,97010,+,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9),Sulfolobus N-glycosylation; Streptococcal Hyaluronic Acid Capsule; Sulfoquinovose biosynthesis cluster,Protein glycosylation in Prokaryotes; Capsule and Slime layer; Capsule and Slime layer,"Protein Fate (folding, modification, targeting, degradation); Cell Envelope, Capsule and Slime layer; Cell Envelope, Capsule and Slime layer",Protein Processing; Cell Envelope; Cell Envelope
ACIAD_RS00465,ACIAD0100,,97037,98308,+,UDP-glucose 6-dehydrogenase (EC 1.1.1.22); UDP-glucose/GDP-mannose dehydrogenase family protein,,,,
ACIAD_RS00470,ACIAD0101,pgi,98305,99978,+,Glucose-6-phosphate isomerase (EC 5.3.1.9),"Glycolysis and Gluconeogenesis; Glycolysis and Gluconeogenesis, including Archaeal enzymes",Central Metabolism; Central Metabolism,Energy and Precursor Metabolites Generation; Energy and Precursor Metabolites Generation,Energy; Energy
ACIAD_RS00475,ACIAD0102,galE,99971,100990,+,UDP-glucose 4-epimerase (EC 5.1.3.2),Galactose utilization,Di- and oligosaccharides,Carbohydrates,Metabolism
ACIAD_RS00480,ACIAD0103,,101084,102733,+,Integral membrane protein,,,,
ACIAD_RS00485,ACIAD0104,,102792,104165,-,Phosphomannomutase (EC 5.4.2.8),Gycosylglycerates; Alginate biosynthesis,Stress Response: Osmotic stress; Capsule and Slime layer,"Stress Response, Defense and Virulence; Cell Envelope, Capsule and Slime layer","Stress Response, Defense, Virulence; Cell Envelope"
ACIAD_RS00490,ACIAD0105,,104308,105177,-,TRANSCRIPTIONAL REGULATOR (LYSR FAMILY),,,,
ACIAD_RS00495,ACIAD0106,lldP,105755,107416,+,L-lactate permease,,,,
ACIAD_RS00500,ACIAD0107,lldR,107440,108192,+,,,,,
ACIAD_RS00505,ACIAD0108,lldD,108189,109343,+,L-lactate dehydrogenase (EC 1.1.1.27),Fermentations: Lactate; Fermentations: Mixed acid,Fermentation; Fermentation,Energy and Precursor Metabolites Generation; Energy and Precursor Metabolites Generation,Energy; Energy
ACIAD_RS00510,ACIAD0109,dld,109356,111065,+,D-lactate dehydrogenase (EC 1.1.1.28),Fermentations: Lactate; Fermentations: Mixed acid,Fermentation; Fermentation,Energy and Precursor Metabolites Generation; Energy and Precursor Metabolites Generation,Energy; Energy
ACIAD_RS00515,ACIAD0110,,111193,112650,+,,,,,
ACIAD_RS00520,ACIAD0111,,112714,112977,-,Membrane protein,,,,
ACIAD_RS00525,ACIAD0112,,113131,114345,-,Aspartate/tyrosine/aromatic aminotransferase (EC 2.6.1.1 ); Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57),Phenylalanine and Tyrosine synthesis 1,Aromatic amino acids and derivatives,Amino Acids and Derivatives,Metabolism
ACIAD_RS17055,,,,,,,,,,
ACIAD_RS00530,ACIAD0114,,115051,115521,-,"Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system",Branched-Chain Amino Acid Biosynthesis,Branched-chain amino acids,Amino Acids and Derivatives,Metabolism
ACIAD_RS00535,ACIAD0115,,115660,116919,+,D-amino acid dehydrogenase (EC 1.4.99.1),Pyruvate Alanine Serine Interconversions,Central Metabolism,Energy and Precursor Metabolites Generation,Energy
ACIAD_RS00540,ACIAD0116,alr,116951,118048,+,Alanine racemase (EC 5.1.1.1),Antibiotic targets in cell wall biosynthesis; Resistance to Vancomycin 2; Amino acid racemase; Pyruvate Alanine Serine Interconversions,Resistance to antibiotics and toxic compounds; Resistance to antibiotics and toxic compounds; ; Central Metabolism,"Stress Response, Defense and Virulence; Stress Response, Defense and Virulence; Amino Acids and Derivatives; Energy and Precursor Metabolites Generation","Stress Response, Defense, Virulence; Stress Response, Defense, Virulence; Metabolism; Energy"
ACIAD_RS00545,ACIAD0117,,118060,118419,+,"RidA/YER057c/UK114 superfamily, group 2, YoaB-like protein",,,,
ACIAD_RS00550,ACIAD0118,,118628,120052,+,Amino acid permease; D-serine/D-alanine/glycine transporter,Histidine Degradation; Pyruvate Alanine Serine Interconversions,Histidine Metabolism; Central Metabolism,Amino Acids and Derivatives; Energy and Precursor Metabolites Generation,Metabolism; Energy
ACIAD_RS00555,ACIAD0119,,120579,121100,+,,,,,
ACIAD_RS00560,ACIAD0120,,121179,121931,+,Molecular chaperone; Putative fimbrial chaperone,,,,
ACIAD_RS00565,ACIAD0121,,121944,124553,+,Outer membrane usher protein; fimbrial biogenesis outer membrane usher protein,,,,
ACIAD_RS00570,ACIAD0122,,124554,125978,+,Fimbrial protein,,,,
ACIAD_RS00575,ACIAD0123,,125975,126712,+,Molecular chaperone; Putative chaperone,,,,
ACIAD_RS00580,ACIAD0124,,126804,127841,+,"Transcriptional regulator, AraC family",,,,
ACIAD_RS00585,ACIAD0125,,128001,128885,-,Permease of the drug/metabolite transporter (DMT) superfamily,,,,
ACIAD_RS00590,ACIAD0126,garD,128937,130484,-,D-galactarate dehydratase (EC 4.2.1.42); Galactarate dehydratase (EC 4.2.1.42),"D-Galacturonate and D-Glucuronate Utilization; D-galactarate, D-glucarate and D-glycerate catabolism -- gjo",Monosaccharides; Monosaccharides,Carbohydrates; Carbohydrates,Metabolism; Metabolism
ACIAD_RS00595,ACIAD0127,,130553,131917,-,D-glucarate transporter,"D-galactarate, D-glucarate and D-glycerate catabolism -- gjo",Monosaccharides,Carbohydrates,Metabolism
ACIAD_RS00600,ACIAD0128,gudD,132209,133543,+,Glucarate dehydratase (EC 4.2.1.40),"D-galactarate, D-glucarate and D-glycerate catabolism -- gjo",Monosaccharides,Carbohydrates,Metabolism
ACIAD_RS00610,ACIAD0130,kdgD,134254,135165,+,5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41),"D-Galacturonate and D-Glucuronate Utilization; D-galactarate, D-glucarate and D-glycerate catabolism -- gjo; D-galacturonate utilization, oxidative pathway",Monosaccharides; Monosaccharides; Sugar acids,Carbohydrates; Carbohydrates; Carbohydrates,Metabolism; Metabolism; Metabolism
ACIAD_RS00615,ACIAD0131,,135198,136778,+,"2,5-dioxovalerate dehydrogenase (EC 1.2.1.26); Aldehyde dehydrogenase (NAD(P)(+)) (EC 1.2.1.5)","D-arabinose utilization; D-Galacturonate and D-Glucuronate Utilization; Proline, 4-hydroxyproline uptake and utilization; L-arabinose utilization; D-galacturonate utilization, oxidative pathway",Monosaccharides; Monosaccharides; Proline and 4-hydroxyproline; Monosaccharides; Sugar acids,Carbohydrates; Carbohydrates; Amino Acids and Derivatives; Carbohydrates; Carbohydrates,Metabolism; Metabolism; Metabolism; Metabolism; Metabolism
ACIAD_RS00620,ACIAD0132,,136994,137707,+,"Predicted D-glucarate or D-galactorate regulator, GntR family","D-galactarate, D-glucarate and D-glycerate catabolism -- gjo",Monosaccharides,Carbohydrates,Metabolism
ACIAD_RS00625,ACIAD0133,,137774,138730,-,Glycerate dehydrogenase (EC 1.1.1.29),,,,
ACIAD_RS00630,ACIAD0135,,139127,140170,+,"Transcriptional regulator, LacI family",,,,
ACIAD_RS00635,ACIAD0136,,140409,141734,+,Xanthine permease,Purine catabolism in Bacillus subtilis; IMP and Xanthine conversion to XMP and GMP module,Purines; Purines,Nucleosides and Nucleotides; Nucleosides and Nucleotides,Metabolism; Metabolism
ACIAD_RS00640,ACIAD0137,,141745,143175,+,Amidohydrolase; Amidohydrolase family protein,,,,
ACIAD_RS00645,ACIAD0138,,143175,143894,+,,,,,
ACIAD_RS00650,ACIAD0139,,143959,145248,+,hypothetical protein,,,,
ACIAD_RS00655,,,145346,145421,,,,,,
ACIAD_RS00660,,,145463,145538,,,,,,
ACIAD_RS00665,ACIAD0142,,145763,146071,+,Cell division protein BolA,,,,
ACIAD_RS00670,ACIAD0143,,146083,146475,+,,,,,
ACIAD_RS00675,ACIAD0144,,146557,147396,+,ParA-like protein,,,,
ACIAD_RS00680,ACIAD0145,,147407,147796,+,hypothetical protein,,,,
ACIAD_RS00685,ACIAD0147,,148006,148596,+,"Transporter, LysE family",ArgOP and related,,Membrane Transport,Membrane Transport
ACIAD_RS00690,ACIAD0148,,148593,149240,-,DedA protein; DedA family protein,Colicin V and Bacteriocin Production Cluster,Ribosomally-synthesized post-translationally modified peptides (RiPPs),Secondary Metabolism,
ACIAD_RS00695,ACIAD0149,,149443,149865,+,DoxX family protein; Inner membrane protein YqjF,,,,
ACIAD_RS00700,ACIAD0150,,149978,150346,+,Protein ygiW precursor,,,,
ACIAD_RS00705,ACIAD0151,guaA,150484,152052,+,,,,,
ACIAD_RS00710,ACIAD0152,,152162,154642,-,Translation-disabling ACNase RloC,,,,
ACIAD_RS00715,ACIAD0154,,154811,155338,+,"Transcriptional regulator, PadR family",,,,
ACIAD_RS00720,ACIAD0155,,155372,155689,+,,,,,
ACIAD_RS00725,ACIAD0156,,155705,155944,+,,,,,
ACIAD_RS00730,ACIAD0157,,156095,157042,+,Pirin,,,,
ACIAD_RS00735,ACIAD0158,,157039,157437,+,OsmC family protein,,,,
ACIAD_RS00740,ACIAD0159,,157545,158186,+,Glutathione S-transferase (EC 2.5.1.18),Glutathione: Non-redox reactions,Stress Response,"Stress Response, Defense and Virulence","Stress Response, Defense, Virulence"
ACIAD_RS00745,ACIAD0160,,158189,159055,-,"Transcriptional regulator, AraC family",,,,
ACIAD_RS00750,ACIAD0161,,159232,160149,+,Permease of the drug/metabolite transporter (DMT) superfamily,,,,
ACIAD_RS00755,ACIAD0162,,160225,161481,+,chromosome partitioning protein ParB,,,,
ACIAD_RS00760,ACIAD0163,,161540,162142,-,Cell division protein FtsN,Cell division cluster,,"Cell Cycle, Cell Division and Death",Cellular Processes
ACIAD_RS00765,ACIAD0164,,162258,164048,-,Arginyl-tRNA synthetase (EC 6.1.1.19); arginine---tRNA ligase (EC 6.1.1.19),"tRNA aminoacylation, Arg",Aminoacyl-tRNA-synthetases,Protein Synthesis,Protein Processing
ACIAD_RS00770,ACIAD0165,,164201,164791,-,hypothetical protein,,,,
ACIAD_RS00775,ACIAD0166,,165044,166744,+,NAD-dependent malic enzyme (EC 1.1.1.38),"Pyruvate metabolism I: anaplerotic reactions, PEP; Malate, citrate transporters",Central Metabolism; Uni- Sym- and Antiporters,Energy and Precursor Metabolites Generation; Membrane Transport,Energy; Membrane Transport
ACIAD_RS00780,ACIAD0167,,166880,170200,+,VgrG protein,Type VI secretion system,"Protein secretion system, Type VI",Membrane Transport,
ACIAD_RS00785,ACIAD0168,,170197,172380,+,,,,,
ACIAD_RS00790,ACIAD0169,,172382,173107,+,hypothetical protein,,,,
ACIAD_RS00800,ACIAD0172,,173609,174529,-,"Dyp-type peroxidase; Predicted dye-decolorizing peroxidase (DyP), YfeX-like subgroup",,,,
ACIAD_RS00805,ACIAD0173,,174698,175324,+,Homoserine/homoserine lactone efflux protein,,,,
ACIAD_RS00810,ACIAD0174,,175327,176142,-,"Zinc ABC transporter, permease protein ZnuB",,,,
ACIAD_RS00815,ACIAD0175,,176145,176933,-,"Zinc ABC transporter, ATP-binding protein ZnuC",,,,
ACIAD_RS00820,ACIAD0176,,176915,177403,-,Zinc uptake regulation protein Zur; Transcriptional repressor,,,,
ACIAD_RS00825,ACIAD0177,,177526,178368,+,"Zinc ABC transporter, substrate-binding protein ZnuA",,,,
ACIAD_RS00830,ACIAD0178,,178542,178940,+,ATP synthase protein I (EC 3.6.3.14 ),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00835,ACIAD0180,atpB,179044,179919,+,ATP synthase F0 sector subunit a (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00840,ACIAD0182,atpE,180004,180249,+,ATP synthase F0 sector subunit c (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00845,ACIAD0183,,180289,180759,+,ATP synthase F0 sector subunit b (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00850,ACIAD0184,,180771,181307,+,ATP synthase delta chain (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00855,ACIAD0185,,181353,182897,+,ATP synthase alpha chain (EC 3.6.3.14); F0F1 ATP synthase subunit alpha,F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00860,ACIAD0186,atpG,182975,183844,+,ATP synthase gamma chain (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00865,ACIAD0187,atpD,183875,185269,+,ATP synthase beta chain (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
ACIAD_RS00870,ACIAD0188,,185297,185716,+,ATP synthase epsilon chain (EC 3.6.3.14),F0F1-type ATP synthase,ATP synthases,Respiration,Energy
